año,mes,dia,taxi,viajes_totales,distancia_total,distancia_prom,tarifa_total,tarifa_prom
2019,5,4,yellow,266758,756549.74,2.836090164118789,4807005.55,18.02009892861695
2019,5,5,yellow,237876,772615.37,3.2479752896467065,4537141.88,19.07355882896972
2019,5,6,yellow,228953,731815.63,3.196357462011854,4596485.55,20.076109725576863
2019,5,7,yellow,252003,740915.04,2.9401040463804,4890972.8,19.408391169946388
2019,5,8,yellow,258313,787174.65,3.047367534734992,5187480.04,20.082148556208946
2019,5,9,yellow,272005,816021.26,3.0000230142828257,5440918.0600000005,20.003007518244157
2019,5,10,yellow,266695,796342.39,2.9859667035377493,5216664.78,19.560414630945463
2019,5,11,yellow,253326,723448.68,2.855801141611994,4554406.32,17.978440112740106
2019,5,12,yellow,226194,708284.17,3.1313128111267323,4229131.45,18.6969214479606
2019,5,13,yellow,243099,727297.87,2.9917764778958365,4828006.86,19.860249774783117
2019,5,14,yellow,261385,750886.25,2.8727212732176675,5084676.5600000005,19.45282460737992
2019,5,15,yellow,258298,777517.65,3.0101574537936804,5226170.36,20.2331042439353
2019,5,16,yellow,263598,814973.58,3.0917289964263763,5487870.0,20.81908815696629
2019,5,17,yellow,272190,834295.38,3.065121349057644,5505950.39,20.22833458246078
2019,5,18,yellow,256873,771131.63,3.001995655440626,4853173.1,18.89327839048868
2019,5,19,yellow,222900,761329.7,3.415566173171826,4421375.9,19.835692687303727
2019,5,20,yellow,239062,772066.78,3.229567141578336,4844136.19,20.26309572412178
2019,5,21,yellow,255250,772032.75,3.0246141038197845,5077549.16,19.892455083251715
2019,5,22,yellow,262087,794640.32,3.03197152090718,5256376.75,20.05584691342951
2019,5,23,yellow,258871,777931.98,3.0050951245987383,5198918.62,20.083047618311824
2019,5,24,yellow,228356,723586.3,3.168676540139081,4564755.59,19.98964594755557
2019,5,25,yellow,185731,579955.92,3.122558538962263,3411412.21,18.367489595167203
2019,5,26,yellow,165205,544018.16,3.292988468872008,3068568.57,18.57430810205502
2019,5,27,yellow,146698,563900.61,3.843955677650684,2982574.66,20.331392793357782
2019,5,28,yellow,225473,687029.21,3.047057563433316,4415570.0,19.583586504814324
2019,5,29,yellow,246101,729170.09,2.9628895859829907,4909509.89,19.94916676486483
2019,5,30,yellow,258303,774138.01,2.997015172104079,5193969.3,20.10804868700712
2019,5,31,yellow,259391,804687.58,3.1022185812152308,5199142.46,20.043650165194627
2019,6,1,yellow,245609,734477.51,2.9904340231831896,4525406.15,18.42524561396366
2019,6,2,yellow,210071,711945.47,3.389070695145927,4180012.48,19.898093882544472
2019,6,3,yellow,228692,761388.13,3.3293168541094573,4695139.73,20.530406529305797
2019,6,4,yellow,228798,704339.32,3.0784330282607364,4410016.49,19.27471608143428
2019,6,5,yellow,254112,752904.8,2.962885656718297,4974115.8100000005,19.57450183383705
2019,6,6,yellow,262701,800434.82,3.046942417425133,5333413.53,20.30222012858725
2019,6,7,yellow,251328,758586.78,3.018313836898396,4995173.93,19.87511908740769
2019,6,8,yellow,230470,689816.9,2.9930876035926586,4253254.89,18.454700785351672
2019,6,9,yellow,191204,676704.54,3.5391756448609866,3817507.14,19.965623836321416
2019,6,10,yellow,222130,684884.06,3.0832578219961286,4379992.65,19.718149957232253
2019,6,11,yellow,240949,732896.73,3.04170895085682,4804451.39,19.93970255116228
2019,6,12,yellow,253262,759029.15,2.9970115927379557,5068696.18,20.01364665840118
2019,6,13,yellow,263734,767358.22,2.9095915581608742,5253640.7700000005,19.92022556818613
2019,6,14,yellow,243672,804050.95,3.299726476575068,4897926.07,20.1004878278998
2019,6,15,yellow,222174,666073.8,2.997982662237706,4069656.8,18.31743048241469
2019,6,16,yellow,188934,661005.84,3.4986071326494965,3727819.0,19.7308001736056
2019,6,17,yellow,216480,696353.72,3.216711566888396,4371151.71,20.19194248891353
2019,6,18,yellow,243375,695820.11,2.8590451361068308,4814256.97,19.78123048793015
2019,6,19,yellow,247813,742691.75,2.996984621468608,5013514.12,20.23103759689766
2019,6,20,yellow,256208,772002.22,3.0131854586898146,5192888.51,20.268252786798225
2019,6,21,yellow,249826,779133.61,3.11870505872087,5079281.75,20.33127756918816
2019,6,22,yellow,221976,688066.22,3.099732493602912,4210558.03,18.968528264316863
2019,6,23,yellow,201308,701100.53,3.4827256244163176,3997913.42,19.85968476165875
2019,6,24,yellow,219624,706564.03,3.2171530889156013,4779405.4,21.76176283102029
2019,6,25,yellow,242720,721471.97,2.972445492748846,4764435.62,19.62934912656559
2019,6,26,yellow,250875,752399.23,2.9991000697558543,5056912.88,20.157101664175386
2019,6,27,yellow,254927,774197.4,3.036937633126346,5218446.67,20.470356886481227
2019,6,28,yellow,243193,739633.5,3.041343706438919,4869414.8,20.02284111795981
2019,6,29,yellow,217029,641971.71,2.9579996682471004,4046652.35,18.64567569311014
2019,6,30,yellow,167832,605467.52,3.607580914247581,3509760.18,20.912341984841987
2019,7,1,yellow,193570,608805.49,3.14514382393966,3766563.96,19.458407604484165
2019,7,2,yellow,199033,574310.16,2.885502203152241,3732961.18,18.755488687805546
2019,7,3,yellow,180584,535709.45,2.966538840650334,3520433.37,19.494713651264785
2019,7,4,yellow,123988,414466.44,3.342794786592251,2311600.99,18.64374770139046
2019,7,5,yellow,142591,448095.05,3.1425198645075776,2645614.27,18.55386574187712
2019,7,6,yellow,153204,492786.94,3.21654095193337,2846848.43,18.582076381817707
2019,7,7,yellow,153038,594853.67,3.886967093140266,3207040.11,20.955841751721795
