Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
12054,57,9.0,425,Cooper SE Countryman ALL4,2019,,65.0,28.0,27.0,Mini,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12168,57,9.0,263,Outlander PHEV,2019,,74.0,25.0,25.0,Mitsubishi,SUV,PHEV,Plug-in Hybrid Electric,
12124,11,5.0,217,Frontier 2WD FFV,2019,11.0,13.0,16.0,18.0,Nissan,Pickup,E85_GSLN,Ethanol (E85),
12125,11,5.0,217,Frontier 4WD FFV,2019,11.0,12.0,15.0,17.0,Nissan,Pickup,E85_GSLN,Ethanol (E85),
12075,41,9.0,217,Leaf (40 kWh battery pack),2019,124.0,112.0,,,Nissan,Sedan/Wagon,ELEC,Electric,
12222,41,1.0,217,Leaf (62 kWh battery pack),2019,118.0,108.0,,,Nissan,Sedan/Wagon,ELEC,Electric,
12223,41,1.0,217,Leaf SV/SL (62 kWh battery pack),2019,114.0,104.0,,,Nissan,Sedan/Wagon,ELEC,Electric,
12085,45,9.0,217,Rogue AWD Hybrid,2019,,,31.0,33.0,Nissan,SUV,HYBR,Hybrid Electric,
12086,45,9.0,217,Rogue FWD Hybrid,2019,,,33.0,34.0,Nissan,SUV,HYBR,Hybrid Electric,
12402,57,9.0,391,Cayenne e-Hybrid,2019,46.0,,20.0,21.0,Porsche,SUV,PHEV,Plug-in Hybrid Electric,
12236,57,9.0,391,Panamera 4 e-Hybrid,2019,,51.0,21.0,23.0,Porsche,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12238,57,9.0,391,Panamera 4 e-Hybrid Executive,2019,,51.0,21.0,23.0,Porsche,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12237,57,9.0,391,Panamera 4 e-Hybrid ST,2019,,51.0,21.0,23.0,Porsche,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12240,57,9.0,391,Panamera Turbo S e-Hybrid,2019,,48.0,19.0,20.0,Porsche,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12239,57,9.0,391,Panamera Turbo S e-Hybrid Executive,2019,,48.0,19.0,20.0,Porsche,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12241,57,9.0,391,Panamera Turbo S e-Hybrid ST,2019,,48.0,19.0,20.0,Porsche,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12069,45,9.0,349,1500 2WD,2019,,,17.0,19.0,Ram,Pickup,HYBR,Hybrid Electric,
12155,45,9.0,349,1500 2WD,2019,,,20.0,22.0,Ram,Pickup,HYBR,Hybrid Electric,
12156,45,9.0,349,1500 4WD,2019,,,19.0,21.0,Ram,Pickup,HYBR,Hybrid Electric,
12070,45,9.0,349,1500 4WD,2019,,,17.0,19.0,Ram,Pickup,HYBR,Hybrid Electric,
12064,11,5.0,349,1500 Classic 2WD,2019,12.0,14.0,17.0,20.0,Ram,Pickup,E85_GSLN,Ethanol (E85),
12065,11,5.0,349,1500 Classic 4WD,2019,11.0,13.0,16.0,19.0,Ram,Pickup,E85_GSLN,Ethanol (E85),
12232,45,9.0,349,1500 HFE 2WD,2019,,,20.0,23.0,Ram,Pickup,HYBR,Hybrid Electric,
12172,41,1.0,381,EQ fortwo convertible,2019,112.0,102.0,,,smart,Sedan/Wagon,ELEC,Electric,
12171,41,1.0,381,EQ fortwo coupe,2019,124.0,108.0,,,smart,Sedan/Wagon,ELEC,Electric,
12212,57,1.0,383,Crosstrek Hybrid AWD,2019,,90.0,36.0,35.0,Subaru,SUV,PHEV,Plug-in Hybrid Electric,
12181,41,1.0,237,Model 3 Long Range,2019,136.0,130.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12182,41,1.0,237,Model 3 Long Range AWD,2019,120.0,116.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12179,41,1.0,237,Model 3 Long Range AWD Performance,2019,120.0,116.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12180,41,1.0,237,Model 3 Mid Range,2019,128.0,123.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
12250,41,1.0,237,Model 3 Standard Range,2019,138.0,131.0,,,Tesla,Sedan/Wagon,ELEC,Electric,
